FSCM,CustPN,CustRev,CoastPN,CoastRev,Name,Eng,Date
A0036,7582526G4,D,41314-4,,"COIL,RF",,
12763,60302,,40764,,,,
A0036,7582526G6,D,41314-6,,COIL RADIO,,
A0036,7582526G7,D,41314-7,,COIL RADIO,,
24930,42963,,50116,,,,
99971,75282526,,,,,,
97942,128C943H02,,41313-2,,,,
10001,62A100-C3010,,41312,,,,
18876,9167312,,41311,,,,
13499,677-9013-00,,41310,,,,
76823,2-60919-15,H,41309-15,,TRANSFORMER,,
18876,9167716,,41308,,,,
80063,SM-D-449019,,41307,,,,
80063,SM-B-105181,,41306,,,,
10001,2561088,,41305,,,,
80063,SC-B-105073,,41304,,,,
13499,672-0951,,40763,,POWER TRANSFORMER,,
10001,3137507-00,NC,41303,,TRANSFORMER,,
18876,P27-169-01,,41302,,,,
7690,120276,,6638,,,,
72152,003-076-000,,40822,,,,
19156,4093,,40428,,,,
19156,5733,,32439,,/05-58B,,
99380,0073-01981,E,40803,,TRANSFORMER,,
A0015,012-300002-36,,30047,,,,
72152,020-009-000,P,40327,,,,
72152,020-011-000,J,,,,,
72152,020-013-000,,40388,,,,
97151,8810307,,,,,,
15634,2123,,,,,,
11982,1E114-003,J,7397-3,,INDUCTOR,,
,2168302,,30147,,,,
,2198301,,30145,,,,
,2198302,,30148,,,,
,2198303,,30150,,,,
,2198304,,30146,,,,
50027,0222-733,,41200,,,,
12365,030602-64,,32634,,"10uH, 200MA GR 1",,
97942,577R792H01,,41301,,,,
65997,039220-0001,,41123,,,,
42498,40458,,40575,,,,
50322,D464,,40502,,,,
26916,052-000831,,40330,,,,
26916,052-000843,,40505,,,,
26916,052-000975,,40547,,,,
26916,052-000976,,40392,,,,
97151,8627290,NC,40837,,,,
26916,056-000442,,,,,,
26916,056-000447,C,41109,,REACTOR,,
26916,056-000488,B,40715,,,,
26916,056-000527,C,41068,,,,
26916,056-000374,D,41197,,REACTOR,,
50322,D565,NC,40448,,TRANSFORMER,,
26916,058-000207,,40847,,,,
96138,06-B-31,,40668,,,,
24384,665259,,40268,,"XFMR, AUDIO FREQUE",,
6845,0665260-0501,C,,,,,
724,08-00054,,40393,,,,
724,08-00209-000,,41054,,,,
724,08-00223-000,,41174,,,,
724,08-00249-000,,40633,,,,
80063,SM-C-366259,,41300,,,,
724,08-00312-000,,41167,,,,
724,08-00341-015,,40691,,,,
724,08-00341-011,,40855,,,,
724,08-00343-12,,40479,,,,
724,08-00343-001,,40702,,,,
724,08-00343-014,,32472,,,,
724,08-0048C-000,,,,,,
724,08-00494-000,,41192,,,,
724,08-00691-000,,,,,,
3538,7745118P012,,41267,,,,
21856,84,,30061,,,,
724,09-00164,,40603,,,,
724,09-00171-000,,40472,,,,
724,09-00215-000,,40928,,,,
724,09-00230-000,D,32437,,/05-56B,,
724,09-00561-003,,,,,,
724,09-00694-001,,41265-1,,,,
11982,9078601,,30450,,INDUCTOR,,
11982,9078602,,30446,,INDUCTOR,,
11982,9078603,,30447,,TRANSFORMER,,
11982,9078604,,30448,,TRANSFORMER,,
11982,9078605,,30449,,TRANSFORMER,,
22915,9631305,,40784,,,,
11872,100-1619,,40846,,,,
12868,100-3269,NC,40742,,"TRANSFORMER,POWER",,
13068,100-5-017,C,32336,,COMMON MODE INDUCTOR,,
82577,100-930-030,,7555,,,,
95750,100001-3037,,41229,,,,
7181,100052,,9817,,,,
94123,1002,,2044,,,,
94580,10027442-101,B,41147,,,,
94500,10032168,,41143,,,,
49671,1003423-1,J,40885,,COIL-RF,CHA,7/21/1986
94580,10034592-101,,41062,,,,
94580,10036739,D,40730,,"TRANSFORMER,PULSE",,
18876,10043642,,40615,,,,
18876,10043864,,,,,,
18876,10043889,,40831,,,,
18876,10049530,,41082,,,,
18876,10049537,D,40936,,,,
18876,10065598,C,40999,,,,
10138,100867,,40339,,,,
50585,1009-Q-511,,7493,,,,
78022,100999,,41036,,,,
12868,101-5011,,40652,,,,
12868,101-5014,B,31541-51,,,,
12868,101-5015-1,,5050A,,"/5-50A, INDUCTOR",,
0,10105382,,40807,,,,
18876,10106115,,40692,,,,
18876,10106121,,40899,,,,
18876,10106122,,41046,,,,
18876,10106321,,40583,,,,
18876,10112593,,40414,,,,
18876,10121106,,7551,,,,
18876,10121107,,7552,,,,
A0036,101350,NC,41163,,COIL RF,,
18876,10158779,,7831,,,,
4S500,10171,,30277,,,,
18876,10176180,D2,,,,,
18986,10176207,,7160,,,,
18876,10177382,D2,40901,,,,
18876,10177831,D,40369,,,,
18876,10177832,,40795,,,,
18876,10178315,C,,,,,
18876,10178371,,41261,,,,
18876,10178403,,,,,,
18876,10178471,,7913,,,,
18876,10179146,,40452,,,,
18876,10182076,,32579,,/08-60F,,
18876,10183512,,7289,,,,
33128,10208,,40987,,,,
18876,10231938,,7965,,,,
?9886,10231939,,7966,,,,
18876,10231940,,7967,,,,
18876,10231941,,7968,,,,
18876,10234348,C,40741,,,,
18876,10236707,,40592,,,,
18876,10236709,,40389,,,,
18876,10237221,,30076,,,,
18876,10249961,,7622,,,,
18876,10281141(D2),C,40992,,"REACTOR, SAT.",,
18876,10281141(D1),C,30330,,TRANSFORMER,,
2294,102863-1,D,6132,,TRANSFORMER,,
18876,10288688,,,,,,
22915,1M153,A/BUILT @ COAST,8989,,TRANSFORMER POWER S,,
24930,103496,E,50050,,"COIL,RF",,
24930,103507,,50018,,,,
24930,103562,G,50034,,,,
80223,1035987,NC,,,,,
,104551,,32427,,/05-46B,,
72964,10480A,,40663,,,,
9004,104975,D,41121,,,,
9004,104975-3,,41180,,,,
19200,10545271(D2),X2,40766,,,,
19200,10545271(D1),B,30052,,TRANSFORMER,,
19200,10545272,B,10041F,,,,
19200,10545565,,30337,,,,
19200,10548199,E,30296,D,TRANSFORMER,,
19200,10548200,G,30302,,REACTOR,,
19200,10548201,H,30308,,TRANSFORMER PULSE,,
19200,10548203,G,30303,,TRANSFORMER,,
19200,10548204,H,30304,,TRANSFORMER,,
19200,10548208,"K,BLT AT COAST",30301,,COAST COIL PART,,
19200,10548227,H+,30055,G,"TRANSFORMER,PULSE",,
19200,10548556,E,7903,,INDUCTOR,,
19200,10548568,G,30306,,TRANSFORMER,,
19200,10548570,A2,40864,,INDUCTOR,,
19200,10548787,B,30305,B,REACTOR,JA,12/20/1984
19200,10548812,M,,,,,
33128,10548816,H,7846,,TRANSFORMER,,
33128,10548817,E,7845,,TRANSFORMER,,
33128,10548818,F,7843,F,TRANSFORMER,JA,8/28/1980
33128,10548819,J,7844,J,TRANSFORMER,JA,9/3/1980
19200,10548820,H,7842,,SATURABLE REACTOR,,
19200,10548821,K,3188,,COAST COIL PART,,
97953,1C7346-1,B,41299-1,,INDUCTOR,,
19200,10548822,COAST COIL,3109,,COAST COIL PART,,
10001,2469400-5,,41298-5,,,,
19200,10548823,F,,,,,
33128,10548826,G,7837,G,INDUCTOR,JA,9/4/1980
33128,10548827,E,7838,E,INDUCTOR,JA,9/4/1980
19200,10548828,F,7840,F,INDUCTOR,JA,9/4/1980
33128,10548830,H,,,,,
33128,10548931,K,7839,K,TRANSFORMER,JA,8/28/1980
24930,52940,,50248,,,,
33128,10548932(D1),J,7841,J,TRANSFORMER,JA,8/29/1986
19200,10549042,M,40646,,"FILTER, POWER",,
10138,10556,,40378,,,,
19200,10556095,F,30307,,TRANSFORMER,,
19200,10558434,A,30438,A,INDUCTOR,JA,6/23/1986
19200,10559555,F,7012,,,,
19200,10559556,,7072,,COAST COIL PART,,
82577,10559557,K,,,,,
87557,60-00298,,6300,,,,
19200,10559559,,7074,,,,
19200,10559561,,6709,,,,
19200,10559562,F,7010,F,TRANSFORMER,,
19200,10559563,,7011,,,,
19200,10559564,F,7076,,TRANSFORMER,,
10001,2076082PC2,B,40130,,TRANSFORMER,,
19200,10559565,K,32635,,CHOKE,,
77068,1057925,,40932,,,,
10581,10600,,40744,,,,
24930,10627728,,9284,,,,
22915,10633434,,30029,,,,
H0000,10652564,,7077,,,,
18876,10662152,,S6577A,,INDUCTOR,,
77068,1066363-2,,40508,,,,
77068,1066363-1,K,40788-1,,INDUCTOR,,
,10663982,,7050,,,,
,10663982-2,,7051,,,,
18876,10668622,,32330,,INDUCTOR,,
18876,10669408,,40770,,,,
18876,10669452,E2,40656,,,,
18876,10670375,,40859,,,,
18876,10673269,,32577,,+3.3V TRANSFORMER,,
18876,10674002,,70321,,,,
18876,10674019,,7266,,,,
18876,10675188,E,40783,,"TRANSFORMER,POWER",,
18876,13031227,H,41297,,,,
18876,10676179,,7777,,TRANSFORMER,,
18876,10679685,K,41070,,,,
18876,10682611,A,2197,,"FILTER, BAND PASS",,
18876,10688657,B,40431,,TRANSFORMER,,
19055,10690,C,40311,,,,
,1069AS181,,30123,,,,
24930,107066,,30179,,,,
24930,107067,J/J,30178,,COIL,,
24930,107068,,30169,,,,
A0096,107337,F,30430,,"CORE,TOROID",,
72314,1076-26,,40891,,,,
3550,10771,,,,,,
89954,10788521,,40580,,,,
24930,107942,,50094,,,,
35351,108510-01,,41037,,,,
80064,4629555,B,41296,,,,
24930,108804,H/K,50059,,,,
13973,109025,A,40774,,TRANSFORMER,,
31550,1093427,,40948,,,,
87557,11-17826,,6718,,,,
5280,110,,40291,,,,
18876,11040682-3,M,40923-3,,P TRANS,,
18876,11040779-1,,41187,,,,
H0000,1105541,E,7465,,"COIL, ELECTRICAL",,
18876,11069515,H,41051,,,,
18876,11069797,,40465,,,,
18876,11072179,,7200,,,,
72152,111540,,40676,,,,
,112-10140,,7463,,,,
,112-9675,,2298,,,,
24930,112411,H/C,50108,,,,
24930,112414,,50112,,,,
26512,1128SCSFA673,,40635,,,,
17773,11291901,C,40696,,,,
98571,11398,,6074,,,,
91417,114020-001,,,,,,
91417,114055,C,40880,,"TRANSFORMER,POWER",,
24930,114482,,30410,,,,
24930,114484,F,50092,,TRANSFORMER,,
24930,114488,,50093,,,,
18876,11449521,C,41140,,,,
35351,114698-01,E,41152,,,,
18876,11507679,COAST PN 9161,40661,,COAST PART 9161 ONLY,,
18876,11526265,,7308,,,,
19207,11608310,C,32475,,,,
19204,11688088,A,40982,,TRANSFORMER,,
6509,116985,,,,,,
19200,11732348,D,,,,,
82577,4618939,A,30513,,TOROID-FILTER,,
19200,11732748-1,D,30077-1,,"TRANSFMS, ISOLATION",,
19200,11732899,C,30368,,REACTOR- POWER,,
19200,11733666,A,7215,,"REACTOR,DUAL",,
19200,11737410,B,7147,,TRANSFORMER,,
19200,11737411,,8964,,,,
19200,11737413,,7128,,,,
19200,11739821,NC,30074,,INDUCTOR,,
19200,11739823,A,30073,,TRANSFORMER,,
19200,11739872,,30098,,,,
19200,11741569,,7127,,,,
H0000,11741547,COAST COIL  (B),8965,,,,
19200,11743139(D2),C,41011,,REACTOR,,
19200,11743139(D1),C,8793-2,,INDUCTOR,,
19200,11743308,,,,,,
6845,2088646-1,,41295,,,,
98230,11743659,,8655,,COAST COIL PART,,
19200,11743666,,10019F,,"IND,SM,330NH,5%",,
19200,11746895,D,2299,D,"FILTER, RF",JA,5/19/1981
19200,11746898,B,9385,,INDUCTOR,,
19200,11746906,,9348,,,,
19200,11747004,,3130,,COAST COIL PART,,
19200,11747007,,3133,,COAST COIL PART,,
19200,11785623,,7901,,,,
19200,11821374,,9907,,COAST COIL PART,,
99643,11024,COAST COIL,1190,,,,
72314,1193-171,F,,,,,
1425,11G004168-000,,40700-2,,TRANSFORMER,,
,12-00455/01,,7792,,,,
,12-0138B,,2262,,,,
7690,120275,,6639,,,,
7690,120330,,6642,,,,
23338,1204-00-0021,D,41105,,POWER TRANSFORMER,,
72314,1204D26,,41079,,,,
72314,1204D24,,41115,,,,
24930,120702,B,50124,,CHOKE ASSY,,
5828,5608-0021-001,,41434,,AUDIO TRANSFORMER,,
18876,10219998,,41423,,POWER TRANSFORMER,,
24930,120705,,50127,,,,
14583,120738,,9688,,,,
24930,121121,D/C,50024,D,RF COIL,CHA,6/16/1986
30003,1214AS154,,40312,,,,
36659,1215605-101,,41125-1,,"COIL, RADIO FREQUE",,
72314,1219-461,,41041,,,,
10001,1226340,,40910,,,,
92250,T050-032-0001,NC,41294,,TRANSFORMER,,
10001,1226350,,,,,,
24930,123192,D,50000,,COIL,GRINNL,8/22/1986
10639,123B309,E,41092,,,,
35351,124269-01,B,41033,,TRANSFORMER,,
6481,12485,D,7277,,,,
,12502,,7499,,,,
24930,125400-1,A,50047-1,,COIL,,
24930,125400-2,A/A,50047-2,,COIL,,
24930,125401-4,,50049-4,,,,
24930,125401-5,B/C,50049-5,,COIL,,
33128,125AS122,,7997,,,,
80740,126-1322,C,6961,,TRANSFORMER,,
24930,126062,F,50081,,COIL,,
72964,12614,A,40841,,TRANSFORMER,,
70143,1267230-1,D,7464,,AUDIO TRANSFORMER,,
70143,1267669,,7747,,,,
70143,1267683-1,H,2284-1,,BADPASS FILTER,,
70143,1267683-4,H,2284-4,G,BANDREJECT FILTER,,
70143,1268131-1,H,7536,G,TRANSFORMER,,
19200,12700420,,3315,,,,
19200,12700438,COAST COIL PART,3316,,,,
,1271AS928,,30391,,,,
24930,128937,D,50030,,SOLENOID,,
26512,128SCAV233-5,COAST COIL PART,,,,,
24930,129317-1,C/C,50080-1,C,COIL,JA,5/1/1986
24930,129317-3,C,50080-3,C,COIL,JA,5/1/1986
24930,129344,C/D,30104,,TRANSFORMER,,
24930,129345,B/D,50023,,INDUCTOR,,
70143,1295392,,2337,,,,
24930,129921-1,NC,50031,NC,CHOKE,JA,3/13/1986
70143,1300148-1,K,7882,,INDUCTOR,,
70143,1300149-1,L,7883,,INDUCTOR,,
70143,1300151-1,H,7884,,INDUCTOR,,
70143,1300152-2,G,7885-2,,TRANSFORMER,,
70143,1300174-2,G,2280-2,,FILTER,,
18876,13034307,COAST COIL,,,,,
18876,13036056,,,,,,
18876,13036057,C,40900,,,,
12909,403195,>>COAST COIL<<,41293,,"TRANSFORMER, PULSE",,
82577,13043885,A,3034,,,,
82577,13043888,A,3036,,,,
82577,13043889,,3035,,,,
18876,13048933,,40708,,,,
82577,13057892,,32647,,"INDCTR, MULTIPLE EMI",,
82577,13058012,A,3126,,,,
18876,13060914,,40740,,,,
11876,13060915,C,41137,,,,
58260,13084327,,32595,,COIL RADIO FREQ CHIP,,
18876,13090443,COAST COIL PART,3197,,,,
18876,13090445,COAST COIL PART,3193,,,,
18876,13090447,SEE 9874,3192,,,,
18876,13090448,COAST COIL PART,3199,,,,
70143,1310308-1,,7439-1,,,,
70143,1310309,,7440,,,,
70143,1310327-1,,7441-1,,,,
70143,1310353-01,,7442,,,,
18876,13152914-1,,40321,,,,
18876,13152920-1,A,40322,,,,
18876,13170668,E,40320,,,,
70143,131965,,7698,,,,
97403,13211E6894,,32639,,IND PFC 300uH,,
97403,13214E3818-6,,41255-6,,,,
97403,13216E6214,,32431,,/05-50B,,
97403,13218E9877,,40674,,,,
97403,13220E2966,,40707,,,,
24930,134429-1,B,50109,,COIL,,
94756,13484-404,NC,30388,,TRANSFORMER,,
94756,13485-404,,30383,,,,
94756,13487-404,NC,30386,,TRANSFORMER,,
94756,13488-404,NC,30385,,TRANSFORMER,,
94756,13489-404,NC,30384,,TRANSFORMER,,
94756,13490-404,NC,30387,,TRANSFORMER,,
86197,135-003-5008,,40726,,,,
77045,135-003-5013,F,32469,,"COIL,RADIO FREQ.CHIP",,
10001,1356032,,41113,,,,
13408,13608,A02,7545,,TRANSFORMER,,
35351,137012-01,N/C,,,,,
35225,13754026,,41224,,,,
35351,137783,F,40862,,TRANSFORMER,,
35351,137786,H,40545,,"TRANSFORMER,AUDIO F",,
35351,137813-01,,,,,,
35351,139259,,,,,,
35351,139944-01,B,32638,,150/14V TXF,,
35351,140139-02,B,41198-2,,,,
35351,140139-01,B,41198-1,,,,
24930,140772,,50074,E,,,
24930,140785,,50075,D,,,
35351,140785-01,J,,,,,
24930,140786,,50073,A,,,
35351,141017-01,,41231,,,,
70143,1411067A,,6953,,,,
35351,142210-01,A,40877,,,,
72964,14226,,40444,,,,
35351,142677-01,,40372,,,,
35351,142678-01,,41220,,,,
35351,142838-01,A,40454,,,,
35351,142922-01,,40366,,,,
21877,143076,,40768,,,,
24930,144581-1,A,50019-1,,"COIL,R.F.",,
21877,144608,,32635,,CHOKE,,
89954,144A9770,A,40423,,,,
24930,145531,,50062,,,,
24930,145533,,50068,B,,,
24930,145534,,50067,B,,,
24930,145561-1,,30082-1,,,,
24930,145564,,50069,,,,
24930,145565,,50070,,,,
24930,145566,,50095,,,,
24930,145570,,50066,B,,,
24930,145571,,50065,B,,,
24930,145580-1,C/C,50033,,"COIL,RF",,
24930,145581-1,C/D,30200-1,,TRANSFORMER,,
24930,145583,,50021,,,,
24930,145585-1,B/B,30328-1,,"COIL, RF",,
24930,145602-1,C,50032,,"COIL,R.F",,
24930,145608-1,B,30142-1,,"COIL,R.F",,
24930,145613-1,,50017-1,,,,
24930,145613-2,,50017-2,,,,
24930,145613-3,,50017-3,,,,
24930,145615-1,D/E,30184,,"COIL,TOROID",,
97942,145C801A01,,,,,,
97942,145C871,,40802,,,,
50322,1470,,40665,,,,
24930,147056-1,A,50110-1,,R.F.COIL,,
24930,147057,,50111,,,,
24930,147608-1,A/B,50026-1,,"COIL,RF",,
24930,147612,,50053,,,,
24930,147617,,50096,,,,
24930,147799-1,A/B,50113,,INDUCTOR,,
24930,147886-1A2,G/J,50105,D,REACTOR,JA,6/26/1986
26916,150-001619,,40695,,,,
,1500,,30095,,,,
98571,15006,,6038,,,,
H0000,1506505,,6375,,,,
H0000,1513613,,6734,,,,
H0000,1513950,SEE 4620,6373,,,,
22915,151559-001,,30298,,,,
35351,151744-01,,41001,,,,
24930,151973,,50097,,,,
97942,151C019A01,,,,,,
97942,151C022,,,,,,
5869,1522981,,6448,,,,
5869,1523094,SEE 4747,6449,,,,
24930,152448-1,A,50039,,"COIL,RF",,
24930,152449-1,A,50040,,"COIL,R.F.",,
24930,152450-1,,50041,,,,
24930,152451-1,,50042-1,,,,
35351,152463-01,,40430,,,,
24930,152464,,50058,,,,
35351,152464-01,B,41245-1,,REACTOR,,
24930,152466,,50014,,,,
35351,152467,,40782,,,,
24930,152488,,50055,,,,
24930,152489,,50043,,,,
24930,152491,,50013,,,,
24930,152492,,50012,,,,
35351,152512-01,C,40464,,,,
49956,152675,,41028,,,,
49956,152708,,40856,,,,
49956,152712,C,40945,,,,
24930,152981,,50011,,,,
24930,152982,,50010,,,,
79500,152A475H01,,41061,,,,
79500,152A477H01,C,41085,,TRANSFORMER,,
97942,152A654,,,,,,
89661,152A67GH01,,,,,,
24930,153269-1,A/A,50044-1,,COIL ASSEMBLY,,
24930,153369-1,A/A,50045,,,,
24930,153370,,30186,,,,
40956,154355,BLT @ COAST,,,,,
5869,1554172,,6450,,,,
5869,1554694,,6491,,,,
5869,1560782,,6541,,,,
5869,1560783,,6512,,,,
35351,156735-01,E,40727,,TRANSFORMER,,
35351,156735-02,,41196,,,,
98571,15702,,6140,,,,
72964,15749,,,,,,
98571,15824,,6490,,,,
10001,1583908,,40466,,,,
82963,159002,,7436,,,,
82963,159006,A1,7758,,,,
24930,160082,C,30111,,"TOROID,FIXED",,
24930,160083,C,30112,,"TOROID,FIXEDE",,
24930,160084,,30351,,,,
24930,160085,C,30113,,"TOROID,FIXED",,
24930,160086,C,30114,,"TOROID,FIXED",,
24930,160164-1,A,41045,,"TRANSFORMER,POWER",,
24361,16028431,,,,,,
A0027,1605181,,9353,,,,
5869,1605182,,9354,,,,
5869,1605220,,40930,,,,
77751,160C145954-1,,40572,,,,
10001,1610638,,40688,,,,
5869,1610823,,7572,,,,
21877,161106,,40848,,,,
5869,1611839,,40347,,,,
5869,1611844,,9956,,,,
A0036,1611845-1,NC PL1,7573-1,A,TRANSFORMER,,
5869,1611845-2,NC PL1,7573-2,NC1,TRANSFORMER,,6/1/1984
5869,1611847,NC,7574,,SATURABLE XFMR,,
5869,1611849,NC/6,7893,,RESISTOR,,
5869,1614065,NC/03,7575,,,,
24930,162639-1,A,30198-1,,COIL,,
5606,163B5697,C,40289,,"COIL ASSEMBLY,FLTR",,
,16420000,,2231,,,,
95266,16448,,41151,,,,
35351,164911,A,40450,,,,
5869,1652459,A/01,7859,6,RESISTOR,JA,8/26/1981
,1655118,,30347,,,,
10138,16559,,40307,,,,
10001,1655923,,,,,,
28009,16601381,,40854,,,,
10138,16670,,40323,,,,
A0036,1676761,C-3,40853,,TRANSFORMER POWER S,,
56359,168-2558,,40956,,,,
98571,16810,,6063,,,,
5869,1681770,NC,30259,,"IMPEDER,DECOUPLING",,
24930,168191,A,3479,,,,
24930,169108-1,A,30252,,COIL ASSY,,
11700,16A31,,40934,A,AUDIO TRANSFORMER,JA,6/2/1986
95750,17009627,B,40413,,,,
24930,170491,,30086,,,,
24930,170492-1,F,50029-1,,COIL,,
24930,170492-2,F/C,50029-2,,COIL,,
24930,170508,D,40972,,,,
59495,1711215,,7670,,,,
59495,1712878,,7167,,,,
72964,17170,,40979,,,,
24930,172316-1,A/B,50035,,"COIL,VARIABLE",,
24930,172317-1,C,30087-1,C,INDUCTOR,,
24930,172321,C,50099,,INDUCTOR,,
24930,172322-1,NC/A,50051,,"COIL,RF",,
98571,17388,,6065,,,,
65092,173952,,32426,,/05-45B,,
10001,1739568,,40363,,,,
24930,175781,,50063,,,,
24930,175806-1,A,50022-1,,COIL,,
78626,1758740-1,,7070,,,,
98571,17757,,6075,,,,
10001,1798479,,40718,,,,
3956,1802907,,32457,,/11-84F,,
3956,1802910,,40453,,,,
3956,1802911,,40364,,,,
10001,1807190,,40716,,,,
22558,1800-1,,1800-1,,"PACVD, V1, BASIC",,
34830,1816-0001,,6578,,,,
34830,1816-0003,,6148,,,,
82577,984657-1,N,,,,,
24930,182472,,30088,,,,
24930,182472-05,A,30088-5,,TRANSFORMER,CHA,7/28/1986
10001,1825438,,41131,,,,
13136,182B5026-1,B,41130,,,,
24930,183028-4,A/A,50132-4,,"COIL ,RF",,
24930,183178,,50008,,,,
24930,183192-1,NC,50007,,TRANSFORMER,,
24930,183199-1,C,30132,,"COIL,TOROID",,
24930,183200,,50064,,,,
24930,183202-1,NC/A,30413-1,,TRANSFORMER,,
24930,183203,,50005,,,,
24930,183275-2,E/G,50028-2,,"COIL, R F",,
24930,183303-1,,50048-1,,,,
24930,183305,,50098,,,,
24930,183434-1,,50004-1,,,,
24930,183449-1,,50114,,,,
24930,183492,,50130,,,,
24930,183544-1,A/B,50038-1,,,,
24930,183546-1,B/C,50003,,"TRANSFORMER,RF",,
12678,18513,,7771,,,,
10001,1856961,,40117,,TRANSFORMER,,
10001,1857620,,32566,,INDUCTOR,,
22915,187294,,7338,,,,
24930,187379,,30283,,,,
10001,2534902,B,42156,,"INDUCTOR, SAT. CORE",,
24930,188258-1,A/A,30300-1,,TRANSFORMER,,
24930,188347-1,,30299-1,,,,
24930,188347-2,A,30299-2,,,,
24930,188395-1,B/B,30230-1,,COIL,,
24930,188396-1,A/A,30231-1,,COIL,,
24930,188397-1,B/B,30232-1,,RF COIL,,
81413,188525-000,,40694,,,,
50040,193471,,40957,,,,
19315,1937217-1,D,41263-1,,CAPACITOR-RESISTOR,,
37695,19535,,,,,,
81412,196A950H08,,40377,,,,
18150,A19710,I,30001,,TRANSFORMER,,
8771,19C301719P001,,,,,,
11982,1E004-001,P/R3,7578-1,,INDUCTOR,,
11982,1E004-006,P/R3,7578-6,,INDUCTOR,,
11982,1.00E+09,,7420,,,,
11982,1E017-002,B/C1,30256-2,,,,
11982,1.00E+23,,7871,,,,
11982,1.00E+24,,7872,,,,
11982,1.00E+25,,7873,,,,
11982,1.00E+26,,7874,,,,
11982,1E032-003,K+L1,7421-3,,,,
11982,1.00E+33,,7579,,,,
11982,1.00E+34,,7580,,,,
11982,1.00E+39,,7710,,,,
11982,1.00E+40,,7711,,,,
11982,1.00E+41,,7712,,,,
11982,1E056-005,J/K1,7348-5,,,,
11982,1.00E+57,,7345,,,,
11982,1.00E+65,,7346,,,,
11982,1.00E+68,,7347,,,,
11982,1.00E+72,,7581,,,,
11982,1.00E+73,,7582,,,,
11982,1.00E+74,,7583,,,,
11982,1.00E+76,,7584,,,,
11982,1E080-001,C/D3,7791-1,,INDUCTER FILTER,,
11982,1.00E+83,,7585,,,,
11982,1.00E+91,,7586,,,,
11982,1E093-002,D/E2,7587-2,,,,
11982,1.00E+97,,7875,,,,
11982,1.00E+103,,7576,,,,
11982,1E108-002,E,7588-2,,,,
11982,1E111-004,B,7394-4,,,,
11982,1E112-004,,7395-4,,,,
11982,1E113-011,E/E1,7396-11,,,,
11982,1E114-002,J,7397-2,,,,
11982,1E115-002,C,7398-2,,,,
11982,1E116-001,,7424-1,,,,
11982,1.00E+117,,7399,,,,
11982,1.00E+118,,7400,,,,
11982,1E119-002,,7425-2,,,,
11982,1E120-002,,7401-2,,,,
11982,1E121-002,A,7402-2,,,,
11982,1E122-002,A/B1,7403-2,,,,
11982,1E123-003,B/C1,7404-3,,INDUCTOR,,
11982,1E124-001,NC,7405,,,,
11982,1E125-002,A/B1,7406-2,,,,
11982,1E126-002,A/B2,7407-2,,,,
11982,1E127-002,A/B1,7408-2,,,,
11982,1E128-002,A/B1,7409-2,,,,
11982,1E129-002,A,7410-2,,,,
11982,1E130-002,B,7411-2,,,,
11982,1E131-002,A/B1,7427-2,,,,
11982,1E132-001,,7412-1,,,,
11982,1E132-002,,7412-2,,,,
11982,1E133-002,A/B1,7413-2,,,,
11982,1.00E+134,,7414,,,,
11982,1.00E+135,,7415,,,,
24930,145608-2,B,30142-2,,"COIL, R.F.",,
11982,1E137-004,C/D2,7417-4,,,,
11982,1.00E+138,,7418,,,,
11982,1E139-006,C,7419-6,,INDUCTOR,,
11982,1E140-002,E/F2,7422-2,,,,
11982,1E141-002,B/NC,7423-2,,,,
11982,1.00E+147,,7647,,,,
11982,1.00E+148,,7648,,,,
11982,1.00E+149,,7649,,,,
11982,1E150-001,,7544,,,,
11982,1.00E+151,,7721,,,,
11982,1.00E+152,,7650,,,,
11982,1E154-001,NC,7606-1,,,,
11982,1.00E+156,,7736,,,,
11982,1.00E+163,,7589,,,,
11982,1.00E+164,,7590,,,,
11982,1.00E+165,,7591,,,,
11982,1E169-001,NC,7656-1,,INDUCTOR,,
11982,1E170-001,A/B1,7657,,INDUCTOR,,
11982,1E171-001,NC,7658,,INDUCTOR,,
11982,1E172-001,NC,7659,,INDUCTOR,,
11982,1E175-001,NC/A1,30025-1,,,,
11982,1E181-001,A1,7693,,INDUCTOR,,
11982,1E182-001,A/B1,7660-1,,INDUCTOR,,
11982,1.00E+183,,7889,,,,
11982,1E184-001,A1,7694,,INDUCTOR,,
11982,1E185-001,A,7661,,INDUCTOR,,
11982,1E186-001,A/B2,7674,,INDUCTOR,,
11982,1E187-001,A/B2,7695,,INDUCTOR,,
11982,1E188-001,B,30369-1,,,,
10001,2469400-13,,41292,,,,
11982,1E190-001,C,30246-1,,INDUCTOR,,
11982,1E191-001,B,30370-1,,,,
11982,1E201-001,B,30261-1,,,,
11982,1E204-002,A/B2,7702-2,,,,
11982,1.00E+205,,7748,,,,
11982,1.00E+206,,7696,,,,
11982,1.00E+207,,7750,,,,
11982,1E220-002,A,7766-2,,,,
11982,1.00E+221,,7767,,,,
11982,1.00E+223,,7739,,,,
11982,1.00E+224,,7740,,,,
11982,1.00E+225,,7826,,,,
11982,1.00E+226,,7806,,,,
11982,1.00E+227,,7807,,,,
11982,1.00E+230,,7911,,,,
11982,1E237-001,NC/A2,30257-1,,MICROINDUCTOR,,
11982,1E246-001,NC,30233-1,,,,
11982,1E247-001,NC,30234-1,,,,
11982,1E248-002,A,30235-2,,,,
11982,1E274-001,NC,30371-1,,,,
